	0
0	Mødet er åbnet.
1	Deres Majestæt, Deres Kongelige Højheder, ærede gæster og medlemmer.
2	Ifølge grundlovens § 36 går folketingsåret fra den første tirsdag i oktober til den første tirsdag i oktober næste år, og på den dag skal Folketinget sættes på ny, som der står.
3	Som det medlem, der længst har haft sæde i Tinget, er det min opgave at lede valget af Præsidium og tingsekretærer.
4	Jeg vil gerne sige mange tak for den tillid, som Folketinget har vist mig ved at genvælge mig som formand.
5	Det er en ære.
6	Sammen med mine kolleger i Præsidiet vil jeg efter bedste evne bestræbe mig på at dele sol og vind lige og være formand og tillidsrepræsentant for alle, uanset partifarve.
7	Det er mit håb, at jeg kan lede arbejdet herinde på en måde, hvor åbenhed, respekt og tillid bliver fællesnævnere.
8	Jeg glæder mig til en ny sæson med mine kolleger her i salen og til samarbejdet med alle de dygtige mennesker, der har deres daglige arbejde på Christiansborg.
9	Jeg byder velkommen til vore gæster i dag.
10	Jeg benytter lejligheden til at sende Folketingets hilsen på denne dag til Grønlands Inatsisartut og Færøernes Lagting.
11	Folketingets næste møde afholdes i morgen, onsdag den 5. oktober 2016, kl. 13.00.Jeg henviser til den dagsorden, der fremgår af Folketingets hjemmeside.
12	Til formand har Socialdemokratiet, Dansk Folkeparti, Venstre, Liberal Alliance, Det Konservative Folkeparti og Aleqa Hammond (UFG) indstillet fru Pia Kjærsgaard.
13	Der foreligger ikke andre indstillinger.
14	Hvis ingen begærer afstemning, vil jeg betragte indstillingen som vedtaget.
15	Den er vedtaget.
16	Herefter giver jeg ordet til statsministeren, for at han kan give den i grundloven omhandlede redegørelse for rigets almindelige stilling og de af regeringen påtænkte foranstaltninger.
17	Værsgo.
18	Jeg tror, det ligger dybt i de fleste af os, at vores børn skal have det bedre end os selv: et bedre liv, større håb og opfyldte drømme.
19	Sådan har jeg det, og sådan blev jeg selv mødt i mit liv.
20	Min mor blev født i 1936.
21	Hun voksede op i Ferskesøstræde i Nexø på Bornholm.
22	Det var en tid, hvor goder som telefon eller radio langtfra var en selvfølge, og hvor rindende vand var en luksus.
23	Længere er det ikke siden.
24	Mange gik ud af skolen i 7. klasse.
25	Det gjorde min mor også. Længere er det ikke siden.
26	Min mor var husmor det meste af sit voksne liv.
27	Hun fik først ufaglært arbejde, da jeg var ved at være klar til at forlade folkeskolen.
28	Indtil da sørgede hun for, at lektierne blev læst, og at madpakken blev smurt.
29	Hun arbejdede hjemme, mens min far arbejdede ude.
30	Det var en helt almindelig arbejdsdeling.
31	Tænk, at det ikke er længere siden.
32	Min mor fik aldrig en uddannelse, men hun var nu alligevel den klogeste, jeg har kendt, og hun havde store drømme.
33	Og der var én drøm, der overskyggede de andre, nemlig at hendes børn fik flere muligheder, end hun selv havde haft.
34	Det var min mors drøm, og den delte hun med mange i sin generation og med mange i generationerne før.
35	Danskernes drømme er faktisk den drivkraft, der har bragt os videre – som mennesker og som land.
36	Fremgang er en del af vores selvforståelse.
37	Vi forventer, at Danmark er blandt de rigeste lande.
38	Det kan næsten føles som en naturlov, men det er det desværre ikke.
39	Der har været international finanskrise og lavkonjunktur.
40	Vi har haft svært ved at ryste det af os.
41	I 10 år – i 10 år – er vi ikke blevet rigere.
42	Hvis Danmark er i slæbesporet, mens landene omkring os træder på speederen, så går generationer glip af nye muligheder, og det må ikke ske.
43	Det er derfor, jeg har sat et ambitiøst mål: Danmark skal blive 65 mia. kr. rigere i 2025.
44	Og det er derfor, regeringen har fremlagt en helhedsplan for et stærkere Danmark, som kan bringe os et langt stykke ad vejen.
45	Er 65 mia. kr. bare et tal? Nej, det er det ikke.
46	Det er derfor, vi skal have fremgang.
47	Jeg vil opfordre til, at vi her i Folketinget løfter det fælles ansvar.
48	Vi kan være uenige om, hvad der helt konkret skal til undervejs for at nå vores mål.
49	Selvfølgelig kan vi det.
50	Det er derfor, vi er medlemmer af forskellige partier.
51	Og hvis nogen har bedre forslag end regeringen, lytter jeg.
52	Men sætter man sig ikke nye mål, og siger man nej til fremgang og udvikling, så står jeg af.
53	Det vil bryde med en lang tradition i vores folkestyre om, at vi plejer at være enige om de store, langsigtede udfordringer.
54	Det indebærer simpelt hen en fare for, at ambitionerne bliver historisk små. At sætte sig høje mål rummer også en risiko.
55	Det rummer den risiko, at vi ikke når helt, men kun næsten, derop.
56	Men det må altså aldrig få os til på forhånd at sætte barren så lavt, at vi ikke kan andet end at liste os over den.
57	Siden vores forældre voksede op, har Danmark gennemgået en kolossal udvikling: mere velstand, bedre uddannelser, større frihed for den enkelte.
58	Og vi kan ikke stoppe her.
59	Jeg har drømme for mine børn.
60	I har drømme for jeres børn.
61	Dem opfylder vi ikke med et fingerknips – eller med én letkøbt løsning.
62	Et stærkere Danmark er det billede, som tegnes af mange forslag tilsammen.
63	Vi skal aflevere et Danmark til næste generation, der er stærkere end det, vi selv overtog.
64	Det skylder vi både vores forældre og vores børn.
65	Så forpligtelsen over for næste generation er den ene grund til, at vi må handle nu.
66	Danmark har brug for en helhedsplan.
67	Den anden grund er international.
68	Vores lille plet på kloden, Danmark, er en af de lykkeligste, en af de fredeligste.
69	Men verden omkring os er urolig.
70	Mod øst – et aggressivt Rusland.
71	Mod vest – en britisk befolkning, der har stemt sig ud af EU. Mod syd – krige og konflikter, som har konsekvenser for os.
72	Terror, flygtninge, ustabilitet.
73	Mange er bekymrede, og det kan jeg godt forstå. Hvis mange føler, at mulighederne er få, så bliver fællesskabet sat på en prøve.
74	Frygten får grobund, mistilliden vokser.
75	Men i en kompliceret verden som den, vi lever i, må vi ikke lade os friste af forsimplede løsninger.
76	Forsimplede løsninger er netop for simple.
77	Danmark er en del af verden på godt og ondt.
78	Og vores svar må forholde sig til begge dele.
79	Vi skal ikke handle af frygt.
80	Men vi må bestemt heller ikke frygte at handle.
81	Vi skal tage vores forholdsregler.
82	Vi skal polstre økonomien.
83	Vi skal tænke på fremtiden.
84	Vi skal passe på Danmark.
85	Jeg er stolt af, at Danmark er et af de lande, der tager det største ansvar i kampen mod terrorbevægelsen ISIL. Jeg er stolt af modige mænd og kvinder, som gør det muligt.
86	Tak.
87	Tak til alle Danmarks udsendte.
88	Jeg er også stolt af vores lange traditioner for søfart og for handel.
89	Danmark har om nogen haft stor fordel af international handel.
90	Vi har en stærk interesse i at samarbejde med omverdenen.
91	Vi må insistere på, at større udsyn giver mere indsigt. 
92	At større udsyn, mere indsigt gør os klogere på den verden, som vi er helt afhængige af, er en del af den danske erindring.
93	Det er en del af vores selvbillede.
94	Hvis vi bygger mure for at lukke andre ude, spærrer vi os selv inde, og det kan vi ikke leve af.
95	Så vores opgave er på én gang at skabe fremgang og holde fast i, hvem vi er.
96	Vi skal passe på vores frie, rige og harmoniske land, sådan som vi kender det, sådan som vi kender os selv.
97	Vores sikkerhed og vores velstand er tæt forbundet med Europas.
98	Går det dårligt for vores naboer, går det dårligt for os, og derfor skal vi passe på Europa.
99	Det europæiske samarbejde har problemer.
100	Vi kan ikke bare fortsætte som før.
101	Der er skepsis i befolkningerne, og det skal vi tage alvorligt.
102	Det har jeg sagt længe, og i dag deler de fleste af mine europæiske kolleger det synspunkt.
103	Men vi må omvendt heller ikke bare give EU skylden for alle problemerne.
104	Vi har selv et ansvar for at få samarbejdet til at fungere.
105	Vi har en stærk interesse i det.
106	Europa i dag er rigere end nogen sinde.
107	Flere europæere lever i frihed.
108	Vi handler, vi studerer, vi arbejder på tværs af grænserne som aldrig før.
109	Det er det, danske virksomheder tjener deres penge på. Det er det, der giver arbejdspladser.
110	Det er det, der har skabt og skaber vores velstand.
